"event_id","sport_name","pre_play_turnover","in_play_turnover"
"2.100598893","Soccer",2889.54,10503.66
"2.100598894","Soccer",813.37,5932.89
"2.100598896","Soccer",2608.5,1621.88
"2.100598897","Soccer",1296.43,295.15
"2.100598900","Soccer",147.2,151.44
"2.100598901","Soccer",12.46,15463.6
"2.100598902","Soccer",423.44,547.78
"2.100598903","Soccer",1205.08,10.32
"2.100598913","Soccer",390.46,569.36
"2.100598914","Soccer",178.06,130.44
"2.100598918","Soccer",36.12,38.28
"2.100598958","Soccer",102200.4,29104.06
"2.100598959","Soccer",2273.28,4515.74
"2.100598960","Soccer",5481.82,33356.34
"2.100598961","Soccer",12362.49,13146.55
"2.100598962","Soccer",6138.5,9324.38
"2.100598963","Soccer",15119.69,6560.37
"2.100598965","Soccer",2462.86,1926.06
"2.100598966","Soccer",1612.76,1584.4
"2.100598967","Soccer",217.4,12.98
"2.100598969","Soccer",826.52,3398.42
"2.100598970","Soccer",3050.58,2890.74
"2.100598971","Soccer",14.66,400
"2.100598982","Soccer",2489.32,318.14
"2.100598987","Soccer",1559.6,1960.82
"2.100598988","Soccer",30.08,343.88
"2.100598991","Soccer",1658.82,454.76
"2.100599300","Tennis",8079.2,3.18
"2.100599453","Tennis",27896.82,1983.64
"2.100599550","Tennis",60869.81,1655.39
"2.100599753","Cricket",1452.85,371.69
"2.100599754","Cricket",7811.62,1277.32
"2.100599755","Cricket",1471.92,8
"2.100599756","Cricket",43731.08,17334.8
"2.100599757","Cricket",15319.86,2848.76
"2.100599796","Cricket",82.24,14
"2.100599801","Cricket",867.5,307.7
"2.100599803","Cricket",9,9
"2.100599812","Cricket",10,10
"2.100599818","Cricket",925.7,9.98
"2.100599825","Cricket",10,10
"2.100599832","Cricket",212.85,12.09
"2.100599835","Cricket",12,12
"2.100599837","Cricket",18.59,18.59
"2.100599838","Cricket",360.94,14
"2.100599840","Cricket",35.66,3
"2.100599841","Cricket",38.94,32.4
"2.100599844","Cricket",247.36,20
"2.100599847","Cricket",32.4,32.4
"2.100599850","Cricket",38.14,21
"2.100599853","Cricket",489.42,33.44
"2.100600662","Tennis",92934.06,806183.14
"2.100600663","Tennis",10038.72,1128.32
"2.100600664","Tennis",113.89,1097.23
"2.100600665","Tennis",52.37,4202.89
"2.100600667","Tennis",2245.92,680.9
"2.100600668","Tennis",4477.38,487.48
"2.100600671","Tennis",70.94,64.58
"2.100600722","Tennis",13422.89,142844.15
"2.100600725","Tennis",15.13,18.77
"2.100600728","Tennis",126.74,126.74
"2.100600731","Tennis",64.91,64.91
"2.100600878","Tennis",53873.81,381151.65
"2.100600880","Tennis",376.96,1616.6
"2.100600891","Tennis",32038.92,583759.6
"2.100600892","Tennis",2375.26,29.24
"2.100600893","Tennis",3.18,3.18
"2.100600894","Tennis",3.18,458.46
"2.100600896","Tennis",667.94,3.18
"2.100600897","Tennis",451.66,3.18
"2.100600900","Tennis",64.63,65.43
"2.100600923","Tennis",20112.51,72994.59
"2.100600925","Tennis",3.18,3.18
"2.100600928","Tennis",99.8,3.18
"2.100600929","Tennis",3.18,3.18
"2.100600932","Tennis",93.05,60.97
"2.100600935","Tennis",19956.69,295288.61
"2.100600936","Tennis",673.2,212.9
"2.100600937","Tennis",32.86,584.4
"2.100600938","Tennis",113.9,1694.52
"2.100600941","Tennis",51.55,51.55
"2.100600944","Tennis",64.73,64.73
"2.100601181","Tennis",10890.74,109237.28
"2.100601182","Tennis",174.42,19.72
"2.100601183","Tennis",27.9,3.18
"2.100601184","Tennis",5.18,5.74
"2.100601187","Tennis",116.76,3.18
"2.100601190","Tennis",64.63,64.63
"2.100601260","Tennis",15284.15,58182.57
"2.100601261","Tennis",306.47,29.97
"2.100601262","Tennis",28.54,77.76
"2.100601269","Tennis",64.88,64.88
"2.100601273","Tennis",21263.34,349275.26
"2.100601274","Tennis",484.28,62.12
"2.100601276","Tennis",114.44,748.56
"2.100601278","Tennis",527.45,154.81
"2.100601279","Tennis",126.74,126.74
"2.100601282","Tennis",3.2,3.2
"2.100601343","Tennis",28540.18,177328.82
"2.100601344","Tennis",1340.49,216.25
"2.100601345","Tennis",25.18,175.2
"2.100601346","Tennis",114.43,214.61
"2.100601348","Tennis",399.6,62.5
"2.100601349","Tennis",43.74,3.18
"2.100601352","Tennis",64.91,64.91
"2.100601367","Tennis",33318.63,228022.67
"2.100601369","Tennis",3.18,10.72
"2.100601370","Tennis",113.9,113.9
"2.100601372","Tennis",89.39,89.39
"2.100601373","Tennis",548.29,126.15
"2.100601376","Tennis",64.73,64.73
"2.100601391","Tennis",125674.35,955630.95
"2.100601392","Tennis",4365.12,2976.34
"2.100601393","Tennis",388.94,1037.62
"2.100601394","Tennis",55.94,14670.02
"2.100601396","Tennis",639.01,2056.01
