latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-38.4523,145.2386,Cowes,Victoria,Australia,Soccer,28
-37.6000,143.8833,Mount Clear,Victoria,Australia,Soccer,7
-26.7007,152.9935,Palmwoods,Queensland,Australia,Rugby League,56
-33.8615,151.2055,,New South Wales,Australia,Rugby League,530
-34.0799,150.5700,The Oaks,New South Wales,Australia,Cricket,7
-37.5824,144.1093,Gordon,Victoria,Australia,Soccer,12
-37.7804,145.0309,Fairfield,Victoria,Australia,Soccer,35
-27.0837,153.1324,Sandstone Point,Queensland,Australia,Rugby League,8
-36.8641,174.7621,Auckland,Auckland,New Zealand,Australian Rules,109
-32.8788,151.6910,Shortland,New South Wales,Australia,Cricket,4
-33.8904,151.2475,Bondi,New South Wales,Australia,Rugby League,195
-37.7390,144.8547,Keilor,Victoria,Australia,Cricket,12
-37.7667,144.8333,Albion,Victoria,Australia,Tennis,90
-41.5833,146.9333,Whitemore,Tasmania,Australia,Cricket,9
-37.9270,145.0964,Oakleigh South,Victoria,Australia,Cricket,27
-37.7603,144.9502,Brunswick East,Victoria,Australia,Rugby Union,91
-33.9125,151.2500,Randwick,New South Wales,Australia,Australian Rules,109
-33.9125,151.2500,Randwick,New South Wales,Australia,Rugby League,200
-33.8698,151.1940,Pyrmont,New South Wales,Australia,Rugby League,102
-37.8167,145.0500,Auburn,Victoria,Australia,Soccer,51
-37.8833,145.0667,Malvern East,Victoria,Australia,Cricket,103
-33.7667,150.8167,Mount Druitt,New South Wales,Australia,Australian Rules,21
-37.8666,145.1055,Ashwood,Victoria,Australia,Cricket,30
-35.0167,138.7333,Aldgate,South Australia,Australia,Cricket,7
-37.8333,145.0500,Hawthorn,Victoria,Australia,Soccer,510
-35.3964,143.4089,Swan Hill,Victoria,Australia,Cricket,5
-13.0655,143.4047,Nundah,Queensland,Australia,Tennis,39
