calendar_dt,sport_name,turnover_gbp
2013-02-17T00:00:00.0000000,Rugby Union,783.3792
2013-02-17T00:00:00.0000000,Soccer,816217.3248
2013-02-17T00:00:00.0000000,Tennis,203096.6016
2013-02-18T00:00:00.0000000,Cricket,69650.9504
2013-02-18T00:00:00.0000000,Soccer,228437.8688
2013-02-18T00:00:00.0000000,Tennis,418695.4496
2013-02-19T00:00:00.0000000,Cricket,170758.7584
2013-02-19T00:00:00.0000000,Soccer,220686.2784
2013-02-19T00:00:00.0000000,Tennis,426917.536
2013-02-20T00:00:00.0000000,Cricket,308501.9712
2013-02-20T00:00:00.0000000,Soccer,179122.5408
2013-02-20T00:00:00.0000000,Tennis,383670.3296
2013-02-21T00:00:00.0000000,Cricket,440.9728
2013-02-21T00:00:00.0000000,Soccer,226271.7312
2013-02-21T00:00:00.0000000,Tennis,285369.2672
2013-02-22T00:00:00.0000000,Australian Rules,40813.664
2013-02-22T00:00:00.0000000,Cricket,17426.6112
2013-02-22T00:00:00.0000000,Rugby League,34899.7824
2013-02-22T00:00:00.0000000,Rugby Union,73861.3504
2013-02-22T00:00:00.0000000,Soccer,196211.1872
2013-02-22T00:00:00.0000000,Tennis,276639.8976
2013-02-23T00:00:00.0000000,Australian Rules,30581.6576
2013-02-23T00:00:00.0000000,Cricket,105822.2016
2013-02-23T00:00:00.0000000,Rugby League,1243.84
2013-02-23T00:00:00.0000000,Rugby Union,163020.2368
2013-02-23T00:00:00.0000000,Soccer,791260.4032
2013-02-23T00:00:00.0000000,Tennis,165471.1744
2013-02-24T00:00:00.0000000,Australian Rules,32219.5136
2013-02-24T00:00:00.0000000,Cricket,260319.5264
2013-02-24T00:00:00.0000000,Rugby League,3421.1712
2013-02-24T00:00:00.0000000,Rugby Union,20575.6032
2013-02-24T00:00:00.0000000,Soccer,775071.2384
2013-02-24T00:00:00.0000000,Tennis,162159.3152
2013-02-25T00:00:00.0000000,Cricket,9019.2384
2013-02-25T00:00:00.0000000,Soccer,246032.128
2013-02-25T00:00:00.0000000,Tennis,283213.1904
2013-02-26T00:00:00.0000000,Cricket,1044726.163
2013-02-26T00:00:00.0000000,Soccer,208144.2816
2013-02-26T00:00:00.0000000,Tennis,260204.4928
2013-02-27T00:00:00.0000000,Cricket,80173.1968
2013-02-27T00:00:00.0000000,Soccer,195364.288
2013-02-27T00:00:00.0000000,Tennis,453826.144
2013-02-28T00:00:00.0000000,Cricket,4367.4816
2013-02-28T00:00:00.0000000,Rugby League,572.6272
2013-02-28T00:00:00.0000000,Soccer,77304.7616
2013-02-28T00:00:00.0000000,Tennis,405795.9488
2013-03-01T00:00:00.0000000,Australian Rules,13211.84
2013-03-01T00:00:00.0000000,Cricket,3537.184
2013-03-01T00:00:00.0000000,Rugby League,4350.7136
2013-03-01T00:00:00.0000000,Rugby Union,165501.6832
2013-03-01T00:00:00.0000000,Soccer,194877.2608
2013-03-01T00:00:00.0000000,Tennis,452901.7344
2013-03-02T00:00:00.0000000,Australian Rules,32608.1344
2013-03-02T00:00:00.0000000,Cricket,169412.8384
2013-03-02T00:00:00.0000000,Rugby League,1200.1024
2013-03-02T00:00:00.0000000,Rugby Union,63822.4896
2013-03-02T00:00:00.0000000,Soccer,944461.1264
2013-03-02T00:00:00.0000000,Tennis,179065.504
2013-03-03T00:00:00.0000000,Australian Rules,43105.2608
2013-03-03T00:00:00.0000000,Cricket,239191.5008
2013-03-03T00:00:00.0000000,Rugby League,3241.632
2013-03-03T00:00:00.0000000,Rugby Union,2692.9664
2013-03-03T00:00:00.0000000,Soccer,715740.2112
2013-03-03T00:00:00.0000000,Tennis,136248.3264
2013-03-04T00:00:00.0000000,Cricket,3688.8064
2013-03-04T00:00:00.0000000,Soccer,282458.1632
2013-03-04T00:00:00.0000000,Tennis,17183.1872
2013-03-05T00:00:00.0000000,Cricket,634527.1936
2013-03-05T00:00:00.0000000,Soccer,297890.6944
2013-03-05T00:00:00.0000000,Tennis,29325.5808
2013-03-06T00:00:00.0000000,Cricket,13384.6912
2013-03-06T00:00:00.0000000,Soccer,261173.4464
2013-03-06T00:00:00.0000000,Tennis,60908.5184
2013-03-07T00:00:00.0000000,Cricket,1667.6224
2013-03-07T00:00:00.0000000,Rugby League,187029.888
2013-03-07T00:00:00.0000000,Soccer,238714.8032
2013-03-07T00:00:00.0000000,Tennis,92734.7456
2013-03-08T00:00:00.0000000,Australian Rules,26878.2208
2013-03-08T00:00:00.0000000,Cricket,9204.32
2013-03-08T00:00:00.0000000,Rugby League,125238.1888
2013-03-08T00:00:00.0000000,Rugby Union,93178.88
2013-03-08T00:00:00.0000000,Soccer,191176.6912
2013-03-08T00:00:00.0000000,Tennis,146737.4272
2013-03-09T00:00:00.0000000,Australian Rules,35707.0016
2013-03-09T00:00:00.0000000,Cricket,401.1136
2013-03-09T00:00:00.0000000,Rugby League,194489.696
2013-03-09T00:00:00.0000000,Rugby Union,111749.3568
2013-03-09T00:00:00.0000000,Soccer,645588.352
2013-03-09T00:00:00.0000000,Tennis,158508.224
2013-03-10T00:00:00.0000000,Cricket,1109268.762
2013-03-10T00:00:00.0000000,Rugby League,265572.4352
2013-03-10T00:00:00.0000000,Rugby Union,52158.2592
2013-03-10T00:00:00.0000000,Soccer,743294.8416
2013-03-10T00:00:00.0000000,Tennis,274681.5552
2013-03-11T00:00:00.0000000,Cricket,2249.4144
2013-03-11T00:00:00.0000000,Rugby League,148638.144
2013-03-11T00:00:00.0000000,Soccer,190500.576
2013-03-11T00:00:00.0000000,Tennis,251334.304
2013-03-12T00:00:00.0000000,Cricket,218999.8656
2013-03-12T00:00:00.0000000,Soccer,313490.9824
2013-03-12T00:00:00.0000000,Tennis,295652.1472
2013-03-13T00:00:00.0000000,Cricket,3358.3488
2013-03-13T00:00:00.0000000,Soccer,212427.648
2013-03-13T00:00:00.0000000,Tennis,318083.3664
2013-03-14T00:00:00.0000000,Cricket,161155.4176
2013-03-14T00:00:00.0000000,Rugby League,176345.184
2013-03-14T00:00:00.0000000,Soccer,181310.9184
2013-03-14T00:00:00.0000000,Tennis,387788.9472
2013-03-15T00:00:00.0000000,Australian Rules,105182.3168
2013-03-15T00:00:00.0000000,Cricket,321962.9312
2013-03-15T00:00:00.0000000,Rugby League,128312.9216
2013-03-15T00:00:00.0000000,Rugby Union,99959.1168
2013-03-15T00:00:00.0000000,Soccer,150173.664
